Municipality,Department,Clean,At_Risk,BBS_Risk,VS_Risk,Avg_Turnout,Avg_MAS_vote
Chacarilla,La Paz,33.33,66.67,33.33,33.33,90.33,0.81
Pojo,Cochabamba,42.86,57.14,33.33,23.81,92.67,0.88
Papel Pampa,La Paz,45.45,54.55,36.36,18.18,90.87,0.82
Sacaca,Potosí,45.45,54.55,27.27,27.27,93.73,0.85
Pocoata,Potosí,45.71,54.29,34.29,20.0,88.96,0.81
San Pedro de Curahuara,La Paz,46.15,53.85,30.77,23.08,92.62,0.89
Caripuyo,Potosí,46.15,53.85,30.77,23.08,90.48,0.84
Entre Ríos,Cochabamba,47.4,52.6,29.87,22.73,91.46,0.78
Jesús de Machaka,La Paz,47.62,52.38,38.1,14.29,94.16,0.77
Inquisivi,La Paz,48.0,52.0,48.0,4.0,89.9,0.81
Cocapata,Cochabamba,48.28,51.72,31.03,20.69,90.25,0.86
Chimoré,Cochabamba,49.23,50.77,27.69,23.08,91.71,0.86
Mecapaca,La Paz,50.0,50.0,30.0,20.0,93.41,0.77
Villa Gualberto Villarroel,Cochabamba,50.0,50.0,25.0,25.0,92.72,0.81
Bolivar,Cochabamba,50.0,50.0,28.57,21.43,92.02,0.81
Salinas de Garcí Mendoza,Oruro,50.0,50.0,30.0,20.0,91.43,0.78
Shinahota,Cochabamba,50.0,50.0,32.81,17.19,91.33,0.86
Sicasica,La Paz,52.0,48.0,36.0,12.0,92.56,0.77
Colquechaca,Potosí,52.5,47.5,40.0,7.5,89.21,0.79
Toro Toro,Potosí,52.63,47.37,36.84,10.53,86.59,0.85
Calamarca,La Paz,52.94,47.06,38.24,8.82,93.73,0.73
Ckochas,Potosí,52.94,47.06,35.29,11.76,85.46,0.83
Tacopaya,Cochabamba,53.33,46.67,26.67,20.0,90.81,0.94
Chayanta,Potosí,53.33,46.67,26.67,20.0,91.88,0.76
Pucarani,La Paz,53.42,46.58,39.73,6.85,94.47,0.71
Sapahaqui,La Paz,53.57,46.43,32.14,14.29,92.45,0.84
Villa Tunari,Cochabamba,53.81,46.19,39.09,7.11,93.87,0.94
Tinguipaya,Potosí,53.85,46.15,38.46,7.69,86.12,0.8
Yaco,La Paz,54.55,45.45,36.36,9.09,91.6,0.83
Puerto Villarroel,Cochabamba,57.62,42.38,35.1,7.28,93.4,0.91
Arque,Cochabamba,57.89,42.11,26.32,15.79,88.97,0.93
Pocona,Cochabamba,58.33,41.67,29.17,12.5,92.48,0.91
Puerto Pérez,La Paz,58.33,41.67,25.0,16.67,94.78,0.8
Puerto Acosta,La Paz,58.82,41.18,35.29,5.88,92.41,0.66
Tiraque,Cochabamba,59.62,40.38,32.69,7.69,90.8,0.88
Laja,La Paz,60.0,40.0,30.0,10.0,95.18,0.78
Totora,Cochabamba,60.98,39.02,19.51,19.51,91.6,0.89
Ayopaya (Villa de Independencia),Cochabamba,61.36,38.64,22.73,15.91,88.43,0.81
Colquiri,La Paz,62.16,37.84,29.73,8.11,92.81,0.68
Colomi,Cochabamba,62.5,37.5,26.79,10.71,91.01,0.79
Huayllamarca,Oruro,62.5,37.5,25.0,12.5,91.38,0.77
San Antonio de Lomerio,Santa Cruz,63.64,36.36,18.18,18.18,89.38,0.53
Ayo Ayo,La Paz,64.71,35.29,29.41,5.88,92.62,0.78
Incahuasi,Chuquisaca,64.71,35.29,23.53,11.76,86.92,0.77
Luribay,La Paz,65.22,34.78,26.09,8.7,92.32,0.85
Mizque,Cochabamba,65.96,34.04,27.66,6.38,89.14,0.77
Toco,Cochabamba,66.67,33.33,26.67,6.67,83.86,0.88
Pampa Aullagas,Oruro,66.67,33.33,16.67,16.67,93.48,0.79
Sopachui,Chuquisaca,66.67,33.33,22.22,11.11,89.06,0.77
Chuma,La Paz,66.67,33.33,20.0,13.33,88.43,0.74
San Pedro,Potosí,67.11,32.89,27.63,5.26,87.07,0.72
Arbieto,Cochabamba,67.57,32.43,24.32,8.11,86.65,0.82
Morochata,Cochabamba,68.0,32.0,24.0,8.0,90.55,0.91
Vacas,Cochabamba,68.18,31.82,27.27,4.55,92.7,0.91
Aiquile,Cochabamba,69.64,30.36,26.79,3.57,87.51,0.75
Eucaliptus,Oruro,70.0,30.0,20.0,10.0,90.11,0.7
Calacoto,La Paz,70.0,30.0,20.0,10.0,89.6,0.79
Corque,Oruro,71.43,28.57,21.43,7.14,88.28,0.68
Tiahuanacu,La Paz,71.43,28.57,21.43,7.14,93.2,0.76
Ichoca,La Paz,71.43,28.57,14.29,14.29,90.31,0.81
Tapacarí,Cochabamba,71.43,28.57,19.05,9.52,91.4,0.93
Comanche,La Paz,71.43,28.57,14.29,14.29,90.54,0.78
Gutiérrez,Santa Cruz,72.22,27.78,22.22,5.56,87.13,0.64
