Beni,Chuquisaca,Cochabamba,La Paz,Oruro,Pando,Potosi,Santa Cruz,Tarija,Turnout,MAS.vote,Pred_Fraud_num,Pred_Fraud_type,Department,Precinct,Municipality
0,1,0,0,0,0,0,0,0,0.863,0.789,0,Clean,Chuquisaca,Escuela Seccional De Chaunaca,Sucre
0,1,0,0,0,0,0,0,0,0.869,0.702,0,Clean,Chuquisaca,Unidad Educativa Chuqui Chuqui,Sucre
0,1,0,0,0,0,0,0,0,0.892,0.686,0,Clean,Chuquisaca,Unidad Educativa Chuqui Chuqui,Sucre
0,1,0,0,0,0,0,0,0,0.822,0.778,0,Clean,Chuquisaca,Escuela Fray Gabriel Maria Landini,Sucre
0,1,0,0,0,0,0,0,0,0.847,0.729,0,Clean,Chuquisaca,Escuela Fray Gabriel Maria Landini,Sucre
0,1,0,0,0,0,0,0,0,0.826,0.727,0,Clean,Chuquisaca,Escuela Fray Gabriel Mariscal,Sucre
0,1,0,0,0,0,0,0,0,0.87,0.521,0,Clean,Chuquisaca,Escuela Punilla,Sucre
0,1,0,0,0,0,0,0,0,0.881,0.673,0,Clean,Chuquisaca,Unidad Educativa La Palma,Sucre
0,1,0,0,0,0,0,0,0,0.879,0.627,0,Clean,Chuquisaca,Unidad Educativa La Palma,Sucre
0,1,0,0,0,0,0,0,0,0.857,0.656,0,Clean,Chuquisaca,Unidad Educativa La Palma,Sucre
0,1,0,0,0,0,0,0,0,0.858,0.461,0,Clean,Chuquisaca,Escuela José Sampa,Sucre
0,1,0,0,0,0,0,0,0,0.892,0.571,0,Clean,Chuquisaca,Unidad Educativa Luis Espinal,Sucre
0,1,0,0,0,0,0,0,0,0.857,0.463,0,Clean,Chuquisaca,Unidad Educativa Luis Espinal,Sucre
0,1,0,0,0,0,0,0,0,0.861,0.753,0,Clean,Chuquisaca,U. Edu. Gualberto Villarroel,Sucre
0,1,0,0,0,0,0,0,0,0.884,0.768,0,Clean,Chuquisaca,U. Edu. Gualberto Villarroel,Sucre
0,1,0,0,0,0,0,0,0,0.865,0.701,0,Clean,Chuquisaca,U. Edu. Gualberto Villarroel,Sucre
