"","Mesa","Department","District","Turnout","MAS.vote"
"1",1,"Chuquisaca",1,0.859405312946874,0.486527531207594
"2",2,"Chuquisaca",1,0.894904236294114,0.403457332227908
"3",3,"Chuquisaca",1,0.897040149814124,0.359153239867157
"4",4,"Chuquisaca",1,0.904917622282781,0.35371385307499
"5",5,"Chuquisaca",1,0.878843729832392,0.42867783998765
"6",6,"Chuquisaca",1,0.862272806664842,0.530786810565137
"7",7,"Chuquisaca",1,0.874419590746267,0.414816545324388
"8",8,"Chuquisaca",1,0.89774059137245,0.481656073209855
"9",9,"Chuquisaca",1,0.908159965940755,0.481856045254038
"10",10,"Chuquisaca",1,0.864010097771821,0.52707264693347
"11",11,"Chuquisaca",1,0.896757993555059,0.500863564029267
"12",12,"Chuquisaca",1,0.894748402599418,0.545569494864529
"13",13,"Chuquisaca",1,0.871668022560616,0.413180163750689
"14",14,"Chuquisaca",1,0.8804058309553,0.452106036173367
"15",15,"Chuquisaca",1,0.902216614584783,0.500018617106368
"16",16,"Chuquisaca",1,0.873594653727069,0.472735357990065
"17",17,"Chuquisaca",1,0.876865499135591,0.438816224133997
"18",18,"Chuquisaca",1,0.872899329225839,0.431296239002497
"19",19,"Chuquisaca",1,0.901481362117875,0.460636336800768
"20",20,"Chuquisaca",1,0.871933405797966,0.418519276721122
"21",21,"Chuquisaca",1,0.874970675405437,0.469797762544318
"22",22,"Chuquisaca",1,0.867448443539924,0.360528353047373
"23",23,"Chuquisaca",1,0.869089135500861,0.389867728566701
"24",24,"Chuquisaca",1,0.906034762402562,0.481986013699634
"25",25,"Chuquisaca",1,0.87238025160917,0.444401391513437
"26",26,"Chuquisaca",1,0.865303462703112,0.461683576998717
"27",27,"Chuquisaca",1,0.878115626692576,0.563965569933159
"28",28,"Chuquisaca",1,0.857308075041058,0.35363324858581
"29",29,"Chuquisaca",1,0.873625486622503,0.413911120255478
"30",30,"Chuquisaca",1,0.868075112502475,0.561638689211537
"31",31,"Chuquisaca",1,0.880229287561675,0.447626626993289
"32",32,"Chuquisaca",1,0.863723803800236,0.362120680181002
"33",33,"Chuquisaca",1,0.862792315522659,0.447559748410947
"34",34,"Chuquisaca",1,0.904753979483293,0.35062904429507
"35",35,"Chuquisaca",1,0.880956861824916,0.554600493236573
"36",36,"Chuquisaca",1,0.88947616196673,0.368138623897937
"37",37,"Chuquisaca",1,0.889188038045448,0.383676325007562
"38",38,"Chuquisaca",1,0.89826480924814,0.517405678175104
"39",39,"Chuquisaca",1,0.898463960599161,0.406671665264644
"40",40,"Chuquisaca",1,0.8648216539819,0.45647250605975
"41",41,"Chuquisaca",1,0.906899279983055,0.432328480314214
"42",42,"Chuquisaca",1,0.888382092257606,0.538268876052153
"43",43,"Chuquisaca",1,0.87669139815281,0.458249191488502
"44",44,"Chuquisaca",1,0.881566782216641,0.519503248739523
"45",45,"Chuquisaca",1,0.907232040467562,0.551778498280212
"46",46,"Chuquisaca",1,0.876065176259635,0.468252954512612
"47",47,"Chuquisaca",1,0.886492036246674,0.414372906977777
"48",48,"Chuquisaca",1,0.873380309727223,0.363865777131771
"49",49,"Chuquisaca",1,0.861397344693443,0.37237554659717
"50",50,"Chuquisaca",1,0.908714621606647,0.526856041990595
"51",51,"Chuquisaca",1,0.905459852477584,0.430505261043096
"52",52,"Chuquisaca",1,0.88299838266345,0.513304695863793
"53",53,"Chuquisaca",1,0.888926634394461,0.45662305541181
"54",54,"Chuquisaca",1,0.860392685124617,0.501505847333589
"55",55,"Chuquisaca",1,0.881766888869664,0.436460044562897
"56",56,"Chuquisaca",1,0.886772552242581,0.427724888421651
"57",57,"Chuquisaca",1,0.867057048322142,0.371423932066536
"58",58,"Chuquisaca",1,0.87770421406268,0.379253849667302
"59",59,"Chuquisaca",1,0.896003470533008,0.520640846586496
"60",60,"Chuquisaca",1,0.894635620975875,0.487563882103478
"61",61,"Chuquisaca",1,0.90064155947449,0.374030967105427
"62",62,"Chuquisaca",1,0.857565280212581,0.364562745879448
"63",63,"Chuquisaca",1,0.900989959076734,0.442132670845913
"64",64,"Chuquisaca",1,0.870092925549954,0.431280954045708
"65",65,"Chuquisaca",1,0.878011823841432,0.560031133835126
"66",66,"Chuquisaca",1,0.872868757964526,0.477315801576714
"67",67,"Chuquisaca",1,0.904192261545562,0.528715248107751
"68",68,"Chuquisaca",1,0.893409071605821,0.483566381573049
"69",69,"Chuquisaca",1,0.876746389583513,0.423294288879759
"70",70,"Chuquisaca",1,0.881231456202177,0.400123909353913
"71",71,"Chuquisaca",1,0.902257420476687,0.498768639817005
"72",72,"Chuquisaca",1,0.890764128715746,0.509892989465473
"73",73,"Chuquisaca",1,0.862150382408044,0.529828806291901
"74",74,"Chuquisaca",1,0.865690466920701,0.46134963317043
"75",75,"Chuquisaca",1,0.868432638170907,0.368585437696888
"76",76,"Chuquisaca",1,0.878270881552103,0.493978775824213
"77",77,"Chuquisaca",1,0.898885214123475,0.492525147209396
"78",78,"Chuquisaca",1,0.89126058653387,0.46933530190427
"79",79,"Chuquisaca",1,0.858753132243658,0.461082102667461
"80",80,"Chuquisaca",1,0.900682898578318,0.38800067708291
"81",81,"Chuquisaca",1,0.882876991901061,0.576997888359044
"82",82,"Chuquisaca",1,0.869816426633374,0.545904797115639
"83",83,"Chuquisaca",1,0.890744343971375,0.535723774836508
"84",84,"Chuquisaca",1,0.907524008462518,0.500750697091153
"85",85,"Chuquisaca",1,0.862700134505767,0.48613854622315
"86",86,"Chuquisaca",1,0.868792291763231,0.50305686086718
"87",87,"Chuquisaca",1,0.871607382109858,0.559722745731885
"88",88,"Chuquisaca",1,0.85942512519249,0.513738892339166
"89",89,"Chuquisaca",1,0.857792539109614,0.360420769237099
"90",90,"Chuquisaca",1,0.876031445669636,0.515844453619812
"91",91,"Chuquisaca",1,0.908815915923865,0.447097399443225
"92",92,"Chuquisaca",1,0.889086422660194,0.368387025128278
"93",93,"Chuquisaca",1,0.863839657541092,0.574043550523587
"94",94,"Chuquisaca",1,0.877733520482861,0.534282150331724
"95",95,"Chuquisaca",1,0.870515769631026,0.560777005059582
"96",96,"Chuquisaca",1,0.874492353229698,0.377390152130684
"97",97,"Chuquisaca",1,0.878863565363998,0.362620427726623
"98",98,"Chuquisaca",1,0.897519981676146,0.469735002324577
"99",99,"Chuquisaca",1,0.881282030572555,0.366412038909647
"100",100,"Chuquisaca",1,0.859995168009466,0.484456295839994
"101",101,"Chuquisaca",1,0.86581503605849,0.516987581614449
"102",102,"Chuquisaca",1,0.901707515332732,0.493266581493886
"103",103,"Chuquisaca",1,0.907621624025777,0.412809832247728
"104",104,"Chuquisaca",1,0.867662273278487,0.466257755124115
"105",105,"Chuquisaca",1,0.895115374645491,0.456279476746335
"106",106,"Chuquisaca",1,0.875873919471425,0.500754719476204
"107",107,"Chuquisaca",1,0.858549726798207,0.360077204510713
"108",108,"Chuquisaca",1,0.907076773022313,0.414957690898294
"109",109,"Chuquisaca",1,0.862915052657164,0.392676119450253
"110",110,"Chuquisaca",1,0.861707996530287,0.464308879480788
"111",111,"Chuquisaca",1,0.862440038701134,0.5125887172834
"112",112,"Chuquisaca",1,0.902284753928685,0.409035662430604
"113",113,"Chuquisaca",1,0.906137434183917,0.413894866265936
"114",114,"Chuquisaca",1,0.881143677522236,0.52343472448346
"115",115,"Chuquisaca",1,0.858012763704415,0.361423152539668
"116",116,"Chuquisaca",1,0.88327941293265,0.544764352289381
"117",117,"Chuquisaca",1,0.89663978001518,0.490945264490789
"118",118,"Chuquisaca",1,0.894146745815605,0.439206256412268
"119",119,"Chuquisaca",1,0.879089113803645,0.350674658529928
"120",120,"Chuquisaca",1,0.865086806172759,0.56424979515628
"121",121,"Chuquisaca",1,0.862763638136427,0.429864465337589
"122",122,"Chuquisaca",1,0.896950328788403,0.439567127157056
"123",123,"Chuquisaca",1,0.883613956470625,0.426053821604324
"124",124,"Chuquisaca",1,0.872550544305924,0.366126730108504
"125",125,"Chuquisaca",1,0.86704568779776,0.466407904605187
"126",126,"Chuquisaca",1,0.884493465928841,0.517935497710863
"127",127,"Chuquisaca",1,0.905827916058903,0.568364874994819
"128",128,"Chuquisaca",1,0.898325713170439,0.393101577393192
"129",129,"Chuquisaca",1,0.883827403113233,0.483223089456954
"130",130,"Chuquisaca",1,0.899018466293194,0.435315935032888
"131",131,"Chuquisaca",1,0.900236641714095,0.360324260672092
"132",132,"Chuquisaca",1,0.891737518467602,0.434954032263429
"133",133,"Chuquisaca",1,0.864978200667405,0.356007257529612
"134",134,"Chuquisaca",1,0.880024850519282,0.510182511649118
"135",135,"Chuquisaca",1,0.876609202165684,0.360639823256769
"136",136,"Chuquisaca",1,0.89993653425113,0.408031539401944
"137",137,"Chuquisaca",1,0.897358134431784,0.504786805708135
"138",138,"Chuquisaca",1,0.865261912716369,0.569426759377048
"139",139,"Chuquisaca",1,0.884520548471003,0.427352848316138
"140",140,"Chuquisaca",1,0.869954957421,0.518834392263005
"141",141,"Chuquisaca",1,0.874239131991896,0.550881781205424
"142",142,"Chuquisaca",1,0.892943601266551,0.492259944108801
"143",143,"Chuquisaca",1,0.902088524506951,0.488455391119341
"144",144,"Chuquisaca",1,0.864398295039081,0.564365577971089
"145",145,"Chuquisaca",1,0.8749217653528,0.397262327010138
"146",146,"Chuquisaca",1,0.89548737696962,0.491606274430214
"147",147,"Chuquisaca",1,0.894873417461544,0.527078478686859
"148",148,"Chuquisaca",1,0.901549705787626,0.428272733967043
"149",149,"Chuquisaca",1,0.873190662482439,0.515122580879341
"150",150,"Chuquisaca",1,0.886550631361343,0.409999176581301
"151",151,"Chuquisaca",1,0.889187553915442,0.56386930237608
"152",152,"Chuquisaca",1,0.908075276227144,0.352259947327659
"153",153,"Chuquisaca",1,0.902114429947763,0.418992288932924
"154",154,"Chuquisaca",1,0.882699622965678,0.46812864171969
"155",155,"Chuquisaca",1,0.867992361242383,0.355993216982404
