"","Mesa","Department","District","Turnout","MAS.vote","VS","BBS","stolen.prop","bboxstuff.prop","Fraud.type"
"1",1,"Chuquisaca",1,0.859405312946874,0.486527531207594,0,0,0,0,"Clean"
"2",2,"Chuquisaca",1,0.894904236294114,0.403457332227908,0,0,0,0,"Clean"
"3",3,"Chuquisaca",1,0.897040149814124,0.359153239867157,0,0,0,0,"Clean"
"4",4,"Chuquisaca",1,0.904917622282781,0.848769041619548,1,0,0.766,0,"VS"
"5",5,"Chuquisaca",1,0.878843729832392,0.42867783998765,0,0,0,0,"Clean"
"6",6,"Chuquisaca",1,0.862272806664842,0.530786810565137,0,0,0,0,"Clean"
"7",7,"Chuquisaca",1,0.874419590746267,0.892911427794363,1,0,0.817,0,"VS"
"8",8,"Chuquisaca",1,0.89774059137245,0.481656073209855,0,0,0,0,"Clean"
"9",9,"Chuquisaca",1,0.908159965940755,0.893780489277078,1,0,0.795,0,"VS"
"10",10,"Chuquisaca",1,0.864010097771821,0.52707264693347,0,0,0,0,"Clean"
"11",11,"Chuquisaca",1,0.896757993555059,0.500863564029267,0,0,0,0,"Clean"
"12",12,"Chuquisaca",1,0.894748402599418,0.545569494864529,0,0,0,0,"Clean"
"13",13,"Chuquisaca",1,0.871668022560616,0.413180163750689,0,0,0,0,"Clean"
"14",14,"Chuquisaca",1,0.8804058309553,0.452106036173367,0,0,0,0,"Clean"
"15",15,"Chuquisaca",1,0.990710578385554,0.500018617106368,0,1,0,0.905,"BBS"
"16",16,"Chuquisaca",1,0.873594653727069,0.963091475059305,1,0,0.93,0,"VS"
"17",17,"Chuquisaca",1,0.876865499135591,0.438816224133997,0,0,0,0,"Clean"
"18",18,"Chuquisaca",1,0.958819382669172,0.431296239002497,0,1,0,0.676,"BBS"
"19",19,"Chuquisaca",1,0.985419241593446,0.460636336800768,0,1,0,0.852,"BBS"
"20",20,"Chuquisaca",1,0.966574618913269,0.418519276721122,0,1,0,0.739,"BBS"
"21",21,"Chuquisaca",1,0.874970675405437,0.469797762544318,0,0,0,0,"Clean"
"22",22,"Chuquisaca",1,0.867448443539924,0.803042732738591,1,0,0.692,0,"VS"
