"","DEPARTMENT","MUNICIPALITY","PRECINCT","CC","FPV","MTS","UCS","MAS","X21F","PDC","MNR","PAN.BOL","VALID","BLANK","NULL.","VOTES","ELECTORATE","MAS.vote","Turnout"
"1","Chuquisaca","Sucre","Escuela Seccional De Chaunaca",12,2,4,2,135,3,11,1,1,171,6,12,189,219,0.789,0.863
"2","Chuquisaca","Sucre","Unidad Educativa Chuqui Chuqui",30,1,1,2,118,3,11,2,0,168,11,13,192,221,0.702,0.869
"3","Chuquisaca","Sucre","Unidad Educativa Chuqui Chuqui",29,2,1,1,118,6,15,0,0,172,13,5,190,213,0.686,0.892
"4","Chuquisaca","Sucre","Escuela Fray Gabriel Maria Landini",11,3,1,3,123,3,9,0,5,158,12,10,180,219,0.778,0.822
"5","Chuquisaca","Sucre","Escuela Fray Gabriel Maria Landini",19,2,3,0,113,0,12,3,3,155,15,7,177,209,0.729,0.847
"6","Chuquisaca","Sucre","Escuela Fray Gabriel Mariscal",14,1,5,1,112,3,8,1,9,154,12,14,180,218,0.727,0.826
"7","Chuquisaca","Sucre","Escuela Punilla",35,1,4,0,86,11,21,2,5,165,9,14,188,216,0.521,0.87
"8","Chuquisaca","Sucre","Unidad Educativa La Palma",32,0,1,1,111,6,13,1,0,165,16,4,185,210,0.673,0.881
"9","Chuquisaca","Sucre","Unidad Educativa La Palma",33,3,0,1,101,3,16,1,3,161,14,13,188,214,0.627,0.879
"10","Chuquisaca","Sucre","Unidad Educativa La Palma",25,1,3,3,105,2,19,0,2,160,16,10,186,217,0.656,0.857
"11","Chuquisaca","Sucre","Escuela José Sampa",36,2,1,2,76,8,34,2,4,165,10,13,188,219,0.461,0.858
"12","Chuquisaca","Sucre","Unidad Educativa Luis Espinal",41,0,0,0,101,10,21,1,3,177,7,14,198,222,0.571,0.892
"13","Chuquisaca","Sucre","Unidad Educativa Luis Espinal",55,1,1,4,81,5,19,2,7,175,5,11,191,223,0.463,0.857
"14","Chuquisaca","Sucre","U. Edu. Gualberto Villarroel",17,1,1,0,119,4,15,1,0,158,14,7,179,208,0.753,0.861
"15","Chuquisaca","Sucre","U. Edu. Gualberto Villarroel",15,0,4,0,129,2,13,5,0,168,16,7,191,216,0.768,0.884
"16","Chuquisaca","Sucre","U. Edu. Gualberto Villarroel",19,1,3,2,108,2,16,3,0,154,18,8,180,208,0.701,0.865
"17","Chuquisaca","Sucre","U. Edu. Gualberto Villarroel",10,1,1,2,113,7,19,0,0,153,19,8,180,207,0.739,0.87
"18","Chuquisaca","Sucre","U. Edu. Gualberto Villarroel",8,3,0,2,118,3,16,5,0,155,21,5,181,201,0.761,0.9
"19","Chuquisaca","Sucre","Unidad Educativa Quila Quila",39,3,3,4,98,3,11,1,0,162,16,14,192,217,0.605,0.885
"20","Chuquisaca","Sucre","Kinder San Vicente De Paul",155,0,0,0,25,3,14,0,0,197,0,5,202,224,0.127,0.902
"21","Chuquisaca","Sucre","Kinder San Vicente De Paul",162,0,0,0,21,1,1,1,0,186,3,2,191,223,0.113,0.857
"22","Chuquisaca","Sucre","Kinder San Vicente De Paul",147,1,0,1,33,2,9,0,0,193,0,4,197,220,0.171,0.895
"23","Chuquisaca","Sucre","Kinder San Vicente De Paul",150,0,0,2,28,1,13,4,3,201,1,2,204,221,0.139,0.923
"24","Chuquisaca","Sucre","Kinder San Vicente De Paul",158,0,1,0,26,3,8,0,1,197,0,3,200,226,0.132,0.885
"25","Chuquisaca","Sucre","Kinder San Vicente De Paul",135,0,0,1,33,4,11,0,0,184,1,6,191,218,0.179,0.876
"26","Chuquisaca","Sucre","Kinder San Vicente De Paul",162,0,0,0,16,0,7,0,1,186,2,1,189,224,0.086,0.844
"27","Chuquisaca","Sucre","Kinder San Vicente De Paul",163,0,1,3,20,3,8,1,0,199,0,1,200,227,0.101,0.881
"28","Chuquisaca","Sucre","Kinder San Vicente De Paul",142,0,0,0,25,2,4,1,1,175,2,1,178,205,0.143,0.868
"29","Chuquisaca","Sucre","Esc. Benjamin Guzman",163,0,1,0,21,0,5,1,0,191,2,6,199,221,0.11,0.9
"30","Chuquisaca","Sucre","Esc. Benjamin Guzman",145,0,2,0,28,6,5,2,0,188,1,6,195,211,0.149,0.924
"31","Chuquisaca","Sucre","Esc. Benjamin Guzman",145,0,1,0,40,1,11,0,2,200,0,2,202,220,0.2,0.918
"32","Chuquisaca","Sucre","Esc. Benjamin Guzman",152,1,1,1,35,2,9,0,2,203,1,6,210,225,0.172,0.933
"33","Chuquisaca","Sucre","Esc. Benjamin Guzman",136,1,1,1,35,2,5,2,1,184,1,5,190,220,0.19,0.864
"34","Chuquisaca","Sucre","Esc. Benjamin Guzman",142,0,0,1,29,2,6,1,1,182,2,2,186,216,0.159,0.861
"35","Chuquisaca","Sucre","Esc. Benjamin Guzman",160,0,2,0,24,1,5,0,3,195,2,2,199,227,0.123,0.877
"36","Chuquisaca","Sucre","U.Pedag. Mariscal Sucre",166,0,0,1,26,1,4,1,1,200,0,1,201,225,0.13,0.893
"37","Chuquisaca","Sucre","U.Pedag. Mariscal Sucre",135,0,1,1,35,6,13,0,1,192,0,4,196,224,0.182,0.875
"38","Chuquisaca","Sucre","U.Pedag. Mariscal Sucre",152,0,0,0,26,2,4,0,2,186,1,5,192,223,0.14,0.861
"39","Chuquisaca","Sucre","U.Pedag. Mariscal Sucre",154,0,1,0,20,1,9,1,2,188,0,8,196,220,0.106,0.891
"40","Chuquisaca","Sucre","U.Pedag. Mariscal Sucre",151,1,0,0,26,1,10,0,0,189,2,7,198,224,0.138,0.884
"41","Chuquisaca","Sucre","U.Pedag. Mariscal Sucre",136,0,0,0,38,2,11,1,0,188,0,10,198,222,0.202,0.892
