"","Department","Municipality","Precinct","Turnout","MAS.vote","Fraud.type"
"1","Chuquisaca","Sucre","Escuela Seccional De Chaunaca",0.863,0.789,"Clean"
"2","Chuquisaca","Sucre","Unidad Educativa Chuqui Chuqui",0.869,0.702,"Clean"
"3","Chuquisaca","Sucre","Unidad Educativa Chuqui Chuqui",0.892,0.686,"Clean"
"4","Chuquisaca","Sucre","Escuela Fray Gabriel Maria Landini",0.822,0.778,"Clean"
"5","Chuquisaca","Sucre","Escuela Fray Gabriel Maria Landini",0.847,0.729,"Clean"
"6","Chuquisaca","Sucre","Escuela Fray Gabriel Mariscal",0.826,0.727,"Clean"
"7","Chuquisaca","Sucre","Escuela Punilla",0.87,0.521,"Clean"
"8","Chuquisaca","Sucre","Unidad Educativa La Palma",0.881,0.673,"Clean"
"9","Chuquisaca","Sucre","Unidad Educativa La Palma",0.879,0.627,"Clean"
"10","Chuquisaca","Sucre","Unidad Educativa La Palma",0.857,0.656,"Clean"
"11","Chuquisaca","Sucre","Escuela José Sampa",0.858,0.461,"Clean"
"12","Chuquisaca","Sucre","Unidad Educativa Luis Espinal",0.892,0.571,"Clean"
"13","Chuquisaca","Sucre","Unidad Educativa Luis Espinal",0.857,0.463,"Clean"
"14","Chuquisaca","Sucre","U. Edu. Gualberto Villarroel",0.861,0.753,"Clean"
"15","Chuquisaca","Sucre","U. Edu. Gualberto Villarroel",0.884,0.768,"Clean"
"16","Chuquisaca","Sucre","U. Edu. Gualberto Villarroel",0.865,0.701,"Clean"
"17","Chuquisaca","Sucre","U. Edu. Gualberto Villarroel",0.87,0.739,"Clean"
"18","Chuquisaca","Sucre","U. Edu. Gualberto Villarroel",0.9,0.761,"Clean"
"19","Chuquisaca","Sucre","Unidad Educativa Quila Quila",0.885,0.605,"Clean"
"20","Chuquisaca","Sucre","Kinder San Vicente De Paul",0.902,0.127,"Clean"
"21","Chuquisaca","Sucre","Kinder San Vicente De Paul",0.857,0.113,"Clean"
"22","Chuquisaca","Sucre","Kinder San Vicente De Paul",0.895,0.171,"Clean"
"23","Chuquisaca","Sucre","Kinder San Vicente De Paul",0.923,0.139,"Clean"
"24","Chuquisaca","Sucre","Kinder San Vicente De Paul",0.885,0.132,"Clean"
"25","Chuquisaca","Sucre","Kinder San Vicente De Paul",0.876,0.179,"Clean"
"26","Chuquisaca","Sucre","Kinder San Vicente De Paul",0.844,0.086,"Clean"
"27","Chuquisaca","Sucre","Kinder San Vicente De Paul",0.881,0.101,"Clean"
"28","Chuquisaca","Sucre","Kinder San Vicente De Paul",0.868,0.143,"Clean"
"29","Chuquisaca","Sucre","Esc. Benjamin Guzman",0.9,0.11,"Clean"
"30","Chuquisaca","Sucre","Esc. Benjamin Guzman",0.924,0.149,"Clean"
"31","Chuquisaca","Sucre","Esc. Benjamin Guzman",0.918,0.2,"Clean"
"32","Chuquisaca","Sucre","Esc. Benjamin Guzman",0.933,0.172,"Clean"
"33","Chuquisaca","Sucre","Esc. Benjamin Guzman",0.864,0.19,"Clean"
"34","Chuquisaca","Sucre","Esc. Benjamin Guzman",0.861,0.159,"Clean"
"35","Chuquisaca","Sucre","Esc. Benjamin Guzman",0.877,0.123,"Clean"
"36","Chuquisaca","Sucre","U.Pedag. Mariscal Sucre",0.893,0.13,"Clean"
"37","Chuquisaca","Sucre","U.Pedag. Mariscal Sucre",0.875,0.182,"Clean"
"38","Chuquisaca","Sucre","U.Pedag. Mariscal Sucre",0.861,0.14,"Clean"
"39","Chuquisaca","Sucre","U.Pedag. Mariscal Sucre",0.891,0.106,"Clean"
"40","Chuquisaca","Sucre","U.Pedag. Mariscal Sucre",0.884,0.138,"Clean"
"41","Chuquisaca","Sucre","U.Pedag. Mariscal Sucre",0.892,0.202,"Clean"
"42","Chuquisaca","Sucre","U.Pedag. Mariscal Sucre",0.884,0.124,"Clean"
"43","Chuquisaca","Sucre","Facultad de Tecnología",0.887,0.122,"Clean"
"44","Chuquisaca","Sucre","Facultad de Tecnología",0.825,0.173,"Clean"
"45","Chuquisaca","Sucre","Facultad de Tecnología",0.882,0.173,"Clean"
"46","Chuquisaca","Sucre","Facultad de Tecnología",0.902,0.127,"Clean"
"47","Chuquisaca","Sucre","Facultad de Tecnología",0.857,0.223,"Clean"
"48","Chuquisaca","Sucre","Facultad de Tecnología",0.912,0.189,"Clean"
"49","Chuquisaca","Sucre","Facultad de Tecnología",0.848,0.185,"Clean"
"50","Chuquisaca","Sucre","Facultad de Tecnología",0.931,0.198,"Clean"
"51","Chuquisaca","Sucre","Facultad de Tecnología",0.869,0.162,"Clean"
"52","Chuquisaca","Sucre","Facultad de Tecnología",0.843,0.148,"Clean"
"53","Chuquisaca","Sucre","Facultad de Tecnología",0.874,0.206,"Clean"
"54","Chuquisaca","Sucre","Facultad de Tecnología",0.838,0.188,"Clean"
"55","Chuquisaca","Sucre","Facultad de Tecnología",0.866,0.133,"Clean"
"56","Chuquisaca","Sucre","Facultad de Tecnología",0.892,0.18,"Clean"
"57","Chuquisaca","Sucre","Facultad de Tecnología",0.875,0.184,"Clean"
"58","Chuquisaca","Sucre","Facultad de Tecnología",0.873,0.183,"Clean"
"59","Chuquisaca","Sucre","Facultad de Tecnología",0.898,0.185,"Clean"
"60","Chuquisaca","Sucre","Facultad de Tecnología",0.886,0.201,"Clean"
"61","Chuquisaca","Sucre","Facultad de Tecnología",0.892,0.146,"Clean"
