"","Mesa","Department","District","Turnout","MAS.vote","VS","BBS","stolen.prop","bboxstuff.prop","Fraud.type"
"7",7,"Chuquisaca",1,0.874419590746267,0.892911427794363,1,0,0.817,0,"VS"
"9",9,"Chuquisaca",1,0.908159965940755,0.893780489277078,1,0,0.795,0,"VS"
"11",11,"Chuquisaca",1,0.896757993555059,0.500863564029267,0,0,0,0,"Clean"
"20",20,"Chuquisaca",1,0.966574618913269,0.418519276721122,0,1,0,0.739,"BBS"
"28",28,"Chuquisaca",1,0.857308075041058,0.838408312146453,1,0,0.75,0,"VS"
"41",41,"Chuquisaca",1,0.906899279983055,0.432328480314214,0,0,0,0,"Clean"
"45",45,"Chuquisaca",1,0.907232040467562,0.907218149144004,1,0,0.793,0,"VS"
"58",58,"Chuquisaca",1,0.87770421406268,0.379253849667302,0,0,0,0,"Clean"
"63",63,"Chuquisaca",1,0.900989959076734,0.852723025103321,1,0,0.736,0,"VS"
"78",78,"Chuquisaca",1,0.985320179182072,0.46933530190427,0,1,0,0.865,"BBS"
"98",98,"Chuquisaca",1,0.897519981676146,0.469735002324577,0,0,0,0,"Clean"
"107",107,"Chuquisaca",1,0.963364379240736,0.360077204510713,0,1,0,0.741,"BBS"
"124",124,"Chuquisaca",1,0.872550544305924,0.366126730108504,0,0,0,0,"Clean"
"126",126,"Chuquisaca",1,0.884493465928841,0.517935497710863,0,0,0,0,"Clean"
"129",129,"Chuquisaca",1,0.883827403113233,0.483223089456954,0,0,0,0,"Clean"
"135",135,"Chuquisaca",1,0.876609202165684,0.360639823256769,0,0,0,0,"Clean"
"167",167,"Chuquisaca",1,0.990450291158902,0.42936419869388,0,1,0,0.901,"BBS"
"187",187,"Chuquisaca",1,0.979706598523125,0.379151161988917,0,1,0,0.829,"BBS"
"195",195,"Chuquisaca",1,0.880932550123321,0.359527962236604,0,0,0,0,"Clean"
"199",199,"Chuquisaca",1,0.866867784617655,0.544561939148799,0,0,0,0,"Clean"
"221",221,"Chuquisaca",1,0.975475355010429,0.49336943404723,0,1,0,0.788,"BBS"
"243",243,"Chuquisaca",1,0.904821151323766,0.888107951405441,1,0,0.798,0,"VS"
"264",264,"Chuquisaca",1,0.991266761679057,0.477202039610709,0,1,0,0.921,"BBS"
"266",266,"Chuquisaca",1,0.976116565276051,0.382892127670506,0,1,0,0.799,"BBS"
"269",269,"Chuquisaca",1,0.858558197073776,0.448511967483097,0,0,0,0,"Clean"
"272",272,"Chuquisaca",1,0.879872007783201,0.955614375940031,1,0,0.895,0,"VS"
"281",281,"Chuquisaca",1,0.890550295026131,0.52127260550561,0,0,0,0,"Clean"
"305",305,"Chuquisaca",1,0.870170229858095,0.852335477022422,1,0,0.728,0,"VS"
"348",348,"Chuquisaca",1,0.862616862379288,0.473604349789645,0,0,0,0,"Clean"
"349",349,"Chuquisaca",1,0.89274306468139,0.907490433318682,1,0,0.799,0,"VS"
"355",355,"Chuquisaca",1,0.90571887351192,0.455491097309925,0,0,0,0,"Clean"
"386",386,"Chuquisaca",1,0.872685577811785,0.523520151312478,0,0,0,0,"Clean"
"388",388,"Chuquisaca",1,0.885865895716355,0.487542828172407,0,0,0,0,"Clean"
"415",415,"Chuquisaca",1,0.977348440171166,0.386661602089274,0,1,0,0.803,"BBS"
"417",417,"Chuquisaca",1,0.864903921484273,0.426121777752791,0,0,0,0,"Clean"
"431",431,"Chuquisaca",1,0.994585355812068,0.41867745570314,0,1,0,0.951,"BBS"
"504",504,"Chuquisaca",1,0.869849693737314,0.459796156833765,0,0,0,0,"Clean"
"506",506,"Chuquisaca",1,0.862722764536216,0.575143125512967,0,0,0,0,"Clean"
"554",554,"Chuquisaca",2,0.871482760760508,0.960716619018439,1,0,0.888,0,"VS"
"559",559,"Chuquisaca",2,0.904580019455979,0.920825211505129,1,0,0.85,0,"VS"
"569",569,"Chuquisaca",2,0.858031904300343,0.906175798553721,1,0,0.71,0,"VS"
"574",574,"Chuquisaca",2,0.905281858867827,0.564026907492393,0,0,0,0,"Clean"
"604",604,"Chuquisaca",2,0.98428735412157,0.461666608140869,0,1,0,0.846,"BBS"
"611",611,"Chuquisaca",2,0.972009116262785,0.561342300273397,0,1,0,0.796,"BBS"
"616",616,"Chuquisaca",2,0.895566688304068,0.909237029939561,1,0,0.785,0,"VS"
"621",621,"Chuquisaca",2,0.962422790192352,0.60361539750737,0,1,0,0.73,"BBS"
"629",629,"Chuquisaca",2,0.881543404020951,0.929716785814071,1,0,0.782,0,"VS"
"630",630,"Chuquisaca",2,0.89547276220049,0.475287275723002,0,0,0,0,"Clean"
"631",631,"Chuquisaca",2,0.981131725036976,0.428067319070406,0,1,0,0.845,"BBS"
"643",643,"Chuquisaca",2,0.858149874142238,0.672522347538132,0,0,0,0,"Clean"
"644",644,"Chuquisaca",2,0.982384531834555,0.487568106081405,0,1,0,0.809,"BBS"
"645",645,"Chuquisaca",2,0.977642063066719,0.665270439560063,0,1,0,0.83,"BBS"
"650",650,"Chuquisaca",2,0.866591874344831,0.85161476377159,1,0,0.681,0,"VS"
"667",667,"Chuquisaca",2,0.871080356228624,0.686261741178267,0,0,0,0,"Clean"
"675",675,"Chuquisaca",2,0.983333451887824,0.554593110765805,0,1,0,0.851,"BBS"
"711",711,"Chuquisaca",2,0.873569741207201,0.516480398102524,0,0,0,0,"Clean"
"714",714,"Chuquisaca",2,0.911658873757343,0.432567777403179,0,0,0,0,"Clean"
"720",720,"Chuquisaca",2,0.971094699426866,0.470332517426663,0,1,0,0.798,"BBS"
"764",764,"Chuquisaca",2,0.962545146491648,0.459996849770844,0,1,0,0.746,"BBS"
"768",768,"Chuquisaca",2,0.980878934968301,0.454799773158429,0,1,0,0.86,"BBS"
"778",778,"Chuquisaca",2,0.87886745186947,0.937513333695718,1,0,0.82,0,"VS"
"785",785,"Chuquisaca",2,0.979802890842452,0.503129555683217,0,1,0,0.792,"BBS"
"787",787,"Chuquisaca",2,0.857331801626762,0.926359651378413,1,0,0.841,0,"VS"
"796",796,"Chuquisaca",2,0.892901937686546,0.446647706260587,0,0,0,0,"Clean"
"814",814,"Chuquisaca",2,0.978962089702095,0.571681424899671,0,1,0,0.857,"BBS"
"820",820,"Chuquisaca",2,0.894039231319507,0.619189744594667,0,0,0,0,"Clean"
"826",826,"Chuquisaca",2,0.87449967192207,0.652217584571771,0,0,0,0,"Clean"
"831",831,"Chuquisaca",2,0.988437752733072,0.654976346517326,0,1,0,0.866,"BBS"
"835",835,"Chuquisaca",2,0.884433539331144,0.919677621514996,1,0,0.739,0,"VS"
"841",841,"Chuquisaca",2,0.891950082971071,0.626258842660089,0,0,0,0,"Clean"
"865",865,"Chuquisaca",2,0.856313026966353,0.935699968374309,1,0,0.881,0,"VS"
"866",866,"Chuquisaca",2,0.980518669026019,0.439463210643412,0,1,0,0.795,"BBS"
"867",867,"Chuquisaca",2,0.884447480172644,0.526846355506078,0,0,0,0,"Clean"
"889",889,"Chuquisaca",2,0.886654033302918,0.547375872015277,0,0,0,0,"Clean"
"903",903,"Chuquisaca",2,0.975582963706259,0.501816627566696,0,1,0,0.812,"BBS"
"906",906,"Chuquisaca",2,0.875546564474487,0.439254013768393,0,0,0,0,"Clean"
"916",916,"Chuquisaca",2,0.861586156641651,0.888603814483833,1,0,0.796,0,"VS"
"920",920,"Chuquisaca",2,0.972163550381365,0.656532592390753,0,1,0,0.769,"BBS"
